CBO Ocupação 2002;titulo;POTECoriginal;potec;Potec Grupo
214125;Arquiteto urbanista;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214120;Arquiteto paisagista;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214115;Arquiteto de patrimônio;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214110;Arquiteto de interiores;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214105;Arquiteto de edificações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214280;Tecnólogo em construção civil;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214230;Engenheiro civil (geotécnia);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214235;Engenheiro civil (hidrologia);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214240;Engenheiro civil (hidráulica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214245;Engenheiro civil (pontes e viadutos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214225;Engenheiro civil (ferrovias e metrovias);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214255;Engenheiro civil (rodovias);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214250;Engenheiro civil (portos e vias navegáveis);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214220;Engenheiro civil (estruturas metálicas);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214215;Engenheiro civil (edificações);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214210;Engenheiro civil (aeroportos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214205;Engenheiro civil;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214260;Engenheiro civil (saneamento);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214265;Engenheiro civil (túneis);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214270;Engenheiro civil (transportes e trânsito);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214365;Tecnólogo em eletrônica;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214370;Tecnólogo em telecomunicações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214360;Tecnólogo em eletricidade;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214335;Engenheiro de manutenção de telecomunicações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214330;Engenheiro eletrônico de projetos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214325;Engenheiro eletrônico de manutenção;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214320;Engenheiro eletricista de projetos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214315;Engenheiro eletricista de manutenção;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214340;Engenheiro de telecomunicações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214345;Engenheiro projetista de telecomunicações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214350;Engenheiro de redes de comunicação;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
