CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
03050;351305;Técnico de administração;Demais Ocupações;Demais Ocupações;Demais Ocupações
03060;351310;Técnico de administração em comércio exterior;Demais Ocupações;Demais Ocupações;Demais Ocupações
03090;351105;Outros  técnicos  de  contabilidade,  estatística, economia doméstica e administração;Demais Ocupações;Demais Ocupações;Demais Ocupações
03110;321110;Técnico agropecuário, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03120;321105;Técnico agrícola;Demais Ocupações;Demais Ocupações;Técnicos
03130;323105;Técnico de pecuária;Demais Ocupações;Demais Ocupações;Técnicos
03140;324205;Técnico de laboratório de análises clínicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
03145;324210;Laboratorista (análises clínicas);Demais Ocupações;Demais Ocupações;Demais Ocupações
03150;323105;Técnico de veterinária;Demais Ocupações;Demais Ocupações;Técnicos
03160;321305;Técnico de piscicultura;Demais Ocupações;Demais Ocupações;Técnicos
03190;203020;Outros  técnicos  de biologia, agronomia  e trabalhadores assemelhados;Pesquisadores;Pesquisadores;Pesquisadores
03205;316305;Técnico de mineração, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03210;314620;Técnico metalúrgico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03212;314725;Técnico de redução (primeira fusão);Demais Ocupações;Demais Ocupações;Técnicos
03214;314710;Técnico de aciaria;Demais Ocupações;Demais Ocupações;Técnicos
03215;314730;Técnico de refratario;Demais Ocupações;Demais Ocupações;Técnicos
03216;314720;Técnico de laminação;Demais Ocupações;Demais Ocupações;Técnicos
03218;314705;Técnico de acabamento;Demais Ocupações;Demais Ocupações;Técnicos
03219;314715;Técnico de fundição (usinagem de peças de metais);Demais Ocupações;Demais Ocupações;Técnicos
03220;316310;Técnico de mineração (petróleo e gás natural);Demais Ocupações;Demais Ocupações;Técnicos
03225;214610;Tecnólogo em processos de produção e usinagem;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
03230;316110;Técnico de geologia;Demais Ocupações;Demais Ocupações;Técnicos
03290;141205;Outros  técnicos de mineração, metalurgia  e  geologia;Demais Ocupações;Demais Ocupações;Demais Ocupações
03315;312105;Técnico de obras civis;Demais Ocupações;Demais Ocupações;Técnicos
03330;312305;Técnico de agrimensura;Demais Ocupações;Demais Ocupações;Técnicos
03350;312315;Técnico de hidrografia;Demais Ocupações;Demais Ocupações;Técnicos
03360;312205;Técnico de estradas;Demais Ocupações;Demais Ocupações;Técnicos
03370;312210;Técnico de saneamento;Demais Ocupações;Demais Ocupações;Técnicos
03380;312320;Topógrafo;Demais Ocupações;Demais Ocupações;Técnicos
03390;312105;Outros  técnicos  de obras civis, agrimensura, estradas, saneamento e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Técnicos
03405;313105;Eletrotécnico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03410;313215;Técnico eletrônico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03430;313315;Técnico de telecomunicações;Demais Ocupações;Demais Ocupações;Técnicos
03435;313120;Técnico de manutenção elétrica;Demais Ocupações;Demais Ocupações;Técnicos
03436;313125;Técnico de manutenção  elétrica de máquinas e veículos automotores em geral;Demais Ocupações;Demais Ocupações;Técnicos
03440;313205;Técnico de manutenção eletrônica;Demais Ocupações;Demais Ocupações;Técnicos
