CBO Ocupação 2002;potec
223570;Demais Ocupações
223605;Demais Ocupações
223620;Demais Ocupações
223625;Demais Ocupações
223630;Demais Ocupações
223635;Demais Ocupações
223640;Demais Ocupações
223645;Demais Ocupações
223650;Demais Ocupações
223655;Demais Ocupações
223660;Demais Ocupações
223705;Demais Ocupações
223710;Demais Ocupações
223810;Demais Ocupações
223815;Demais Ocupações
223820;Demais Ocupações
223825;Demais Ocupações
223830;Demais Ocupações
223835;Demais Ocupações
223840;Demais Ocupações
223845;Demais Ocupações
223905;Demais Ocupações
223910;Demais Ocupações
224105;Demais Ocupações
224110;Demais Ocupações
224115;Demais Ocupações
224120;Demais Ocupações
224125;Demais Ocupações
224130;Demais Ocupações
224135;Demais Ocupações
225103;Demais Ocupações
225105;Demais Ocupações
225106;Demais Ocupações
225109;Demais Ocupações
225110;Demais Ocupações
225112;Demais Ocupações
225115;Demais Ocupações
225118;Demais Ocupações
225120;Demais Ocupações
225121;Demais Ocupações
225122;Demais Ocupações
225124;Demais Ocupações
225125;Demais Ocupações
225127;Demais Ocupações
225130;Demais Ocupações
225133;Demais Ocupações
225135;Demais Ocupações
225136;Demais Ocupações
225139;Demais Ocupações
225140;Demais Ocupações
225142;Demais Ocupações
225145;Demais Ocupações
225148;Demais Ocupações
225150;Demais Ocupações
225151;Demais Ocupações
225154;Demais Ocupações
225155;Demais Ocupações
225160;Demais Ocupações
225165;Demais Ocupações
225170;Demais Ocupações
225175;Demais Ocupações
225180;Demais Ocupações
225185;Demais Ocupações
225195;Demais Ocupações
225203;Demais Ocupações
225210;Demais Ocupações
225215;Demais Ocupações
225220;Demais Ocupações
225225;Demais Ocupações
225230;Demais Ocupações
225235;Demais Ocupações
225240;Demais Ocupações
225250;Demais Ocupações
225255;Demais Ocupações
225260;Demais Ocupações
225265;Demais Ocupações
225270;Demais Ocupações
225275;Demais Ocupações
225280;Demais Ocupações
225285;Demais Ocupações
225290;Demais Ocupações
225295;Demais Ocupações
225305;Demais Ocupações
225310;Demais Ocupações
225315;Demais Ocupações
225320;Demais Ocupações
225325;Demais Ocupações
225330;Demais Ocupações
225335;Demais Ocupações
225340;Demais Ocupações
225345;Demais Ocupações
225350;Demais Ocupações
226105;Demais Ocupações
226110;Demais Ocupações
226305;Demais Ocupações
226310;Demais Ocupações
226315;Demais Ocupações
226320;Demais Ocupações
231105;Demais Ocupações
231110;Demais Ocupações
231205;Demais Ocupações
231210;Demais Ocupações
231305;Demais Ocupações
231310;Demais Ocupações
231315;Demais Ocupações
231320;Demais Ocupações
231325;Demais Ocupações
231330;Demais Ocupações
231335;Demais Ocupações
231340;Demais Ocupações
232105;Demais Ocupações
232110;Demais Ocupações
232115;Demais Ocupações
232120;Demais Ocupações
232125;Demais Ocupações
232130;Demais Ocupações
232135;Demais Ocupações
232140;Demais Ocupações
232145;Demais Ocupações
232150;Demais Ocupações
232155;Demais Ocupações
232160;Demais Ocupações
232165;Demais Ocupações
232170;Demais Ocupações
233105;Professores de ensino Profissional
233110;Professores de ensino Profissional
233115;Professores de ensino Profissional
233120;Professores de ensino Profissional
233125;Professores de ensino Profissional
233130;Professores de ensino Profissional
233135;Professores de ensino Profissional
233205;Professores de ensino Profissional
233210;Professores de ensino Profissional
233215;Professores de ensino Profissional
233220;Professores de ensino Profissional
233225;Professores de ensino Profissional
234105;Professores de ensino superior
234110;Professores de ensino superior
234115;Professores de ensino superior
234120;Professores de ensino superior
234125;Professores de ensino superior
234205;Professores de ensino superior
234210;Professores de ensino superior
234215;Professores de ensino superior
234305;Professores de ensino superior
234310;Professores de ensino superior
234315;Professores de ensino superior
234320;Professores de ensino superior
234405;Professores de ensino superior
234410;Professores de ensino superior
234415;Professores de ensino superior
234420;Professores de ensino superior
234425;Professores de ensino superior
234430;Professores de ensino superior
234435;Professores de ensino superior
234440;Professores de ensino superior
234445;Professores de ensino superior
234450;Professores de ensino superior
234455;Professores de ensino superior
234460;Professores de ensino superior
234505;Professores de ensino superior
234510;Professores de ensino superior
234515;Professores de ensino superior
234520;Professores de ensino superior
234604;Professores de ensino superior
234608;Professores de ensino superior
234612;Professores de ensino superior
234616;Professores de ensino superior
234620;Professores de ensino superior
234624;Professores de ensino superior
234628;Professores de ensino superior
234632;Professores de ensino superior
234636;Professores de ensino superior
234640;Professores de ensino superior
234644;Professores de ensino superior
234648;Professores de ensino superior
234652;Professores de ensino superior
234656;Professores de ensino superior
234660;Professores de ensino superior
234664;Professores de ensino superior
234668;Professores de ensino superior
234672;Professores de ensino superior
234676;Professores de ensino superior
234680;Professores de ensino superior
234684;Professores de ensino superior
234705;Professores de ensino superior
234710;Professores de ensino superior
234715;Professores de ensino superior
234720;Professores de ensino superior
234725;Professores de ensino superior
234730;Professores de ensino superior
234735;Professores de ensino superior
234740;Professores de ensino superior
234745;Professores de ensino superior
234750;Professores de ensino superior
234755;Professores de ensino superior
234760;Professores de ensino superior
234765;Professores de ensino superior
234770;Professores de ensino superior
234805;Professores de ensino superior
234810;Professores de ensino superior
234815;Professores de ensino superior
234905;Professores de ensino superior
234910;Professores de ensino superior
234915;Professores de ensino superior
239205;Demais Ocupações
239210;Demais Ocupações
239215;Demais Ocupações
239220;Demais Ocupações
239225;Demais Ocupações
239405;Demais Ocupações
239410;Demais Ocupações
239415;Demais Ocupações
239420;Demais Ocupações
239425;Demais Ocupações
239430;Demais Ocupações
239435;Demais Ocupações
241005;Demais Ocupações
241010;Demais Ocupações
241015;Demais Ocupações
241020;Demais Ocupações
241025;Demais Ocupações
241030;Demais Ocupações
241035;Demais Ocupações
241040;Demais Ocupações
241205;Demais Ocupações
241210;Demais Ocupações
241215;Demais Ocupações
241220;Demais Ocupações
241225;Demais Ocupações
241230;Demais Ocupações
241235;Demais Ocupações
241305;Demais Ocupações
241310;Demais Ocupações
241315;Demais Ocupações
241320;Demais Ocupações
241325;Demais Ocupações
241330;Demais Ocupações
241335;Demais Ocupações
241340;Demais Ocupações
242205;Demais Ocupações
242210;Demais Ocupações
242215;Demais Ocupações
242220;Demais Ocupações
242225;Demais Ocupações
242230;Demais Ocupações
242235;Demais Ocupações
242240;Demais Ocupações
242245;Demais Ocupações
242250;Demais Ocupações
242305;Demais Ocupações
242405;Demais Ocupações
242410;Demais Ocupações
242905;Demais Ocupações
242910;Demais Ocupações
251105;Demais Ocupações
251110;Demais Ocupações
251115;Demais Ocupações
251120;Demais Ocupações
251205;Demais Ocupações
251210;Demais Ocupações
251215;Demais Ocupações
251220;Demais Ocupações
251225;Demais Ocupações
251230;Demais Ocupações
251235;Demais Ocupações
251305;Demais Ocupações
251405;Demais Ocupações
251505;Demais Ocupações
251510;Demais Ocupações
251515;Demais Ocupações
251520;Demais Ocupações
251525;Demais Ocupações
251530;Demais Ocupações
251535;Demais Ocupações
251540;Demais Ocupações
251545;Demais Ocupações
251550;Demais Ocupações
251555;Demais Ocupações
251605;Demais Ocupações
251610;Demais Ocupações
252105;Demais Ocupações
252205;Demais Ocupações
252210;Demais Ocupações
252215;Demais Ocupações
252305;Demais Ocupações
252310;Demais Ocupações
252315;Demais Ocupações
252320;Demais Ocupações
252405;Demais Ocupações
252505;Demais Ocupações
252510;Demais Ocupações
252515;Demais Ocupações
252525;Demais Ocupações
252530;Demais Ocupações
252535;Demais Ocupações
252540;Demais Ocupações
252545;Demais Ocupações
252550;Demais Ocupações
252605;Demais Ocupações
252705;Demais Ocupações
252710;Demais Ocupações
252715;Demais Ocupações
252720;Demais Ocupações
252725;Demais Ocupações
253105;Demais Ocupações
253110;Demais Ocupações
253115;Demais Ocupações
253120;Demais Ocupações
253125;Demais Ocupações
253130;Demais Ocupações
253135;Demais Ocupações
253140;Demais Ocupações
253205;Demais Ocupações
253210;Demais Ocupações
253215;Demais Ocupações
253220;Demais Ocupações
253225;Demais Ocupações
253305;Demais Ocupações
254105;Demais Ocupações
254110;Demais Ocupações
254205;Demais Ocupações
254305;Demais Ocupações
254310;Demais Ocupações
254405;Demais Ocupações
254410;Demais Ocupações
254415;Demais Ocupações
254420;Demais Ocupações
254505;Demais Ocupações
261105;Demais Ocupações
261110;Demais Ocupações
261115;Demais Ocupações
261120;Demais Ocupações
261125;Demais Ocupações
261130;Demais Ocupações
261135;Demais Ocupações
261140;Demais Ocupações
261205;Demais Ocupações
261210;Demais Ocupações
261215;Demais Ocupações
261305;Demais Ocupações
261310;Demais Ocupações
261405;Demais Ocupações
261410;Demais Ocupações
261415;Demais Ocupações
261420;Demais Ocupações
261425;Demais Ocupações
261430;Demais Ocupações
261505;Demais Ocupações
261510;Demais Ocupações
261515;Demais Ocupações
261520;Demais Ocupações
261525;Demais Ocupações
261530;Demais Ocupações
261605;Demais Ocupações
261610;Demais Ocupações
261615;Demais Ocupações
261620;Demais Ocupações
261625;Demais Ocupações
261705;Demais Ocupações
261710;Demais Ocupações
261715;Demais Ocupações
261720;Demais Ocupações
261725;Demais Ocupações
261730;Demais Ocupações
261805;Demais Ocupações
261810;Demais Ocupações
261815;Demais Ocupações
261820;Demais Ocupações
261905;Demais Ocupações
261910;Demais Ocupações
262105;Demais Ocupações
262110;Demais Ocupações
262115;Demais Ocupações
262120;Demais Ocupações
262125;Demais Ocupações
262130;Demais Ocupações
262135;Demais Ocupações
262205;Demais Ocupações
262210;Demais Ocupações
262215;Demais Ocupações
262220;Demais Ocupações
262225;Demais Ocupações
262230;Demais Ocupações
262235;Demais Ocupações
262305;Demais Ocupações
262310;Demais Ocupações
262315;Demais Ocupações
262320;Demais Ocupações
262325;Demais Ocupações
262330;Demais Ocupações
262405;Demais Ocupações
262410;Demais Ocupações
262415;Demais Ocupações
262420;Demais Ocupações
262425;Demais Ocupações
262505;Demais Ocupações
262605;Demais Ocupações
262610;Demais Ocupações
262615;Demais Ocupações
262620;Demais Ocupações
262705;Demais Ocupações
262710;Demais Ocupações
262805;Demais Ocupações
262810;Demais Ocupações
262815;Demais Ocupações
262820;Demais Ocupações
262825;Demais Ocupações
262830;Demais Ocupações
262905;Demais Ocupações
263105;Demais Ocupações
263110;Demais Ocupações
263115;Demais Ocupações
271105;Demais Ocupações
271110;Demais Ocupações
300105;Demais Ocupações
300110;Demais Ocupações
300305;Demais Ocupações
301105;Demais Ocupações
301110;Demais Ocupações
301115;Demais Ocupações
301205;Demais Ocupações
311105;Demais Ocupações
311110;Demais Ocupações
311115;Demais Ocupações
311205;Demais Ocupações
311305;Demais Ocupações
311405;Demais Ocupações
311410;Demais Ocupações
311505;Demais Ocupações
311510;Demais Ocupações
311515;Demais Ocupações
311520;Demais Ocupações
311605;Demais Ocupações
311610;Demais Ocupações
311615;Demais Ocupações
311620;Demais Ocupações
311625;Demais Ocupações
311705;Demais Ocupações
311710;Demais Ocupações
311715;Demais Ocupações
311720;Demais Ocupações
311725;Demais Ocupações
312105;Demais Ocupações
312205;Demais Ocupações
312210;Demais Ocupações
312305;Demais Ocupações
312310;Demais Ocupações
312315;Demais Ocupações
312320;Demais Ocupações
313105;Demais Ocupações
313110;Demais Ocupações
313115;Demais Ocupações
313120;Demais Ocupações
313125;Demais Ocupações
313130;Demais Ocupações
313205;Demais Ocupações
313210;Demais Ocupações
313215;Demais Ocupações
313220;Demais Ocupações
313305;Demais Ocupações
313310;Demais Ocupações
313315;Demais Ocupações
313320;Demais Ocupações
313405;Demais Ocupações
313410;Demais Ocupações
313415;Demais Ocupações
313505;Demais Ocupações
314105;Demais Ocupações
314110;Demais Ocupações
314115;Demais Ocupações
314120;Demais Ocupações
314125;Demais Ocupações
314205;Demais Ocupações
314210;Demais Ocupações
314305;Demais Ocupações
314310;Demais Ocupações
314315;Demais Ocupações
314405;Demais Ocupações
314410;Demais Ocupações
