,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
43,,,,,,,,,,,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002,CBO Ocupação 2002
44,,,,,,,,,,,,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe,CNAE 2.0 Classe
45,,,,,,,,,,,,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse,CNAE 2.0 Subclasse
46,,,,,,,,,,,,,,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005,Escolaridade após 2005
47,,,,,,,,,,,,,,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor,Raça Cor
48,,,,,,,,,,,,,,,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic,Ind Portador Defic
49,,,,,,,,,,,,,,,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic,Tipo Defic
50,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Abril CC,Vl Rem Abril CC,Vl Rem Abril CC
51,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Agosto CC,Vl Rem Agosto CC,Vl Rem Agosto CC
52,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Fevereiro CC,Vl Rem Fevereiro CC,Vl Rem Fevereiro CC
53,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Janeiro CC,Vl Rem Janeiro CC,Vl Rem Janeiro CC
54,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Julho CC,Vl Rem Julho CC,Vl Rem Julho CC
55,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Junho CC,Vl Rem Junho CC,Vl Rem Junho CC
56,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Maio CC,Vl Rem Maio CC,Vl Rem Maio CC
57,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Março CC,Vl Rem Março CC,Vl Rem Março CC
58,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Novembro CC,Vl Rem Novembro CC,Vl Rem Novembro CC
59,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Outubro CC,Vl Rem Outubro CC,Vl Rem Outubro CC
60,,,,,,,,,,,,,,,,,,,,,,,Vl Rem Setembro CC,Vl Rem Setembro CC,Vl Rem Setembro CC
61,,,,,,,,,,,,,,,,,,,,,,,,Ano Chegada Brasil,Ano Chegada Brasil
62,,,,,,,,,,,,,,,,,,,,,,,,,Ind Trab Intermitente
63,,,,,,,,,,,,,,,,,,,,,,,,,Ind Trab Parcial
